fid,id,SpRasterNA,slopeRaste,sg_date,sg__gdd_p2,sg__gdd_p1,pcp0708,pcp0607,pcp0506,MinT0708,MinT0607,MinT0506,MaxT0708,MaxT0607,MaxT0506,elevationR,DistanceRo,DistanceRi,aspectRast
"1","0",,,,,,,,,,,,,,,,63296.26172,142689.23438,
"2","1",2.00000,0.00711,141.50453,199.45721,0.35991,85.62514,81.70486,79.66399,9.20578,7.32675,2.55138,20.15161,18.72798,13.00302,222.69510,2096.84644,36854.45313,1.73869
"3","2",1.00000,0.01992,136.63492,213.63214,0.32394,93.54253,86.88936,77.13129,9.99803,8.34730,3.57804,20.85007,19.71164,14.35958,157.37614,5260.12939,7206.29395,2.19954
"4","3",,,,,,,,,,,,,,,,19555.11914,111997.44531,
"5","4",,,,,,,,,,,,,,,,179601.15625,230979.26563,
"6","5",,,,,,,,,,,,,,,,24802.45117,96615.56250,
"7","6",,,,,,,,,,,,,,,,56466.32031,142718.81250,
"8","7",,,,,,,,,,,,,,,,64174.97656,119551.50781,
"9","8",,,,,,,,,,,,,,,,43591.85938,84954.98438,
"10","9",,,135.36017,160.34686,0.00702,99.66947,108.69433,110.63802,11.12055,8.73324,4.43779,18.05760,16.05207,11.95070,37.33143,151.24004,28533.03516,
"11","10",,,,,,,,,,,,,,,,70906.54688,121264.82031,
"12","11",,,,,,,,,,,,,,,,158710.43750,233422.98438,
"13","12",,,,,,,,,,,,,,,,130089.49219,148944.92188,
"14","13",,,,,,,,,,,,,,,,30364.51953,94979.91406,
"15","14",,0.03167,141.89157,170.17003,0.17619,111.82857,119.00143,109.07729,9.59675,7.66103,3.14080,17.73899,16.04926,11.50341,409.98682,9369.84277,24642.12305,1.97401
"16","15",,,,,,,,,,,,,,,,49749.41797,103070.72656,
"17","16",,0.02038,140.96907,204.89197,0.41157,88.26569,83.07623,80.55123,8.78930,7.14451,2.33186,20.22079,19.08457,13.53303,384.20956,9516.66602,30316.44531,2.06896
"18","17",5.00000,0.04112,134.87105,210.96570,0.31325,83.41679,83.68969,86.23080,10.34662,8.58585,3.82969,21.24049,20.01405,14.64364,208.93228,3614.72607,3339.85181,2.04818
"19","18",,0.01282,149.09964,156.61774,0.09601,102.19719,97.13896,79.60677,8.25039,6.13129,1.75179,16.77415,14.88337,9.94178,126.65385,61720.50000,86440.78906,4.08254
"20","19",5.00000,0.00814,134.79745,194.95148,0.24384,76.22774,77.06094,82.53511,9.87745,7.87467,3.37988,21.29716,19.72075,14.44579,21.39260,1621.11536,25011.53516,0.79036
"21","20",,,,,,,,,,,,,,,,44523.66406,75961.67188,
"22","21",,,,,,,,,,,,,,,,5511.98584,89789.09375,
"23","22",,,,,,,,,,,,,,,,42567.99219,106956.90625,
"24","23",,,,,,,,,,,,,,,,14777.50000,97233.49219,
"25","24",,0.01304,145.83186,165.80438,0.09091,111.39100,102.31155,86.38258,8.87292,6.87962,2.36116,17.78990,15.82935,10.73043,61.85970,133789.18750,174587.04688,2.36615
"26","25",2.00000,0.00908,134.59668,206.58722,0.27273,77.84631,76.91652,80.97190,10.60988,8.61740,3.90090,21.24206,19.92665,14.47370,109.85855,3373.20288,23503.91016,2.75188
"27","26",,,,,,,,,,,,,,,,107984.03906,134346.40625,
"28","27",2.00000,0.00393,135.30859,216.75223,0.36364,81.32696,77.50108,76.07928,9.96238,8.34329,3.53977,21.72251,20.51641,14.98584,122.83675,2298.56055,1207.66284,4.19393
