Join_Count,TARGET_FID,JOIN_FID,Year,Severity,SBW,SBW_ID,Ecoregion,Shape_Leng,Area_Ha,defo_index,Field1,X,Y,fid,Field1_2,SpRasterNA,slopeRaste,sg_date,sg__gdd_p2,sg__gdd_p1,pcp0708,pcp0607,pcp0506,MinT0708,MinT0607,MinT0506,MaxT0708,MaxT0607,MaxT0506,elevationR,DistanceRo,DistanceRi,aspectRast
"1","2268","1281","1978","3","215","249",Maritime Barrens,15721.074980700001106,1031.940889570000081,"0","2268","764805","5256797","1","2268",1,0.00411,135.9472,169.51346,0.14873,92.27419,86.69506,91.73695,10.31025,7.91634,3.59158,19.53879,17.64943,12.88684,76.30255,3311.46558,117958.82031,4.56629
"1","2356","1281","1978","3","215","249",Maritime Barrens,15721.074980700001106,1031.940889570000081,"0","2356","764805","5258797","2","2356",1,0.00288,136.18365,170.46823,0.14467,91.83351,86.52702,91.58215,10.29268,7.90293,3.57324,19.52147,17.64272,12.86917,81.18481,3158.88696,117316.42188,3.90696
"1","2439","1282","1978","3","225","248",Maritime Barrens,5935.393160249999710,198.219968606999998,"0","2439","750805","5260797","3","2439",1,0.00867,137.76993,163.2117,0.12813,92.89836,91.03698,94.69653,10.28598,7.82213,3.50699,18.73043,16.78136,12.17585,129.45891,2671.18604,103425.32813,0.12212
"1","2626","1279","1978","3","208","242",Maritime Barrens,16083.694131399999605,1263.499253890000091,"0","2626","756805","5264797","4","2626",1,0.00442,136.45229,167.97812,0.10239,91.03673,87.83712,92.00836,10.37891,7.95244,3.63051,19.22926,17.31683,12.62878,74.84425,2675.57202,107885.66406,0.33081
"1","2713","1278","1978","3","207","241",Maritime Barrens,14469.295912199999293,944.600749966999956,"0","2713","752805","5266797","5","2713",1,0.00374,137.17734,167.08871,0.16601,91.26743,89.40217,93.27359,10.32421,7.88156,3.5607,18.96498,17.04787,12.39476,115.04214,1025.8595,103484.17188,0.49048
"1","2715","1279","1978","3","208","242",Maritime Barrens,16083.694131399999605,1263.499253890000091,"0","2715","756805","5266797","6","2715",1,0.00914,136.8739,169.31133,0.15755,90.63792,87.82493,92.01765,10.3632,7.93956,3.61397,19.21154,17.31105,12.6117,80.24097,1928.4884,107332.07813,0.20451
"1","2737","1227","1977","2","109","153",Maritime Barrens,25749.574500499998976,3712.583119700000225,"0","2737","810805","5266797","7","2737",1,0.01581,136.98645,188.2328,0.12998,84.70999,81.90141,92.20361,10.678,8.36314,3.85351,19.87337,18.17566,12.89135,171.26529,88.63496,151887.23438,4.18951
"1","2738","1197","1976","3","228","1000",Maritime Barrens,8600.682734980000532,506.624666828999977,"0","2738","812805","5266797","8","2738",1,0.01101,137.71722,187.85603,0.14028,85.47243,83.01608,93.79612,10.59225,8.2706,3.76613,19.73395,18.03856,12.74639,203.19594,2069.43311,153272.82813,2.86862
"1","2801","1278","1978","3","207","241",Maritime Barrens,14469.295912199999293,944.600749966999956,"0","2801","752805","5268797","9","2801",3,0.00845,136.99181,167.45027,0.1341,90.73991,89.11388,92.98138,10.34149,7.90174,3.5789,19.00204,17.09242,12.43065,115.16225,1941.58276,102945.78125,0.49444
"1","2803","1279","1978","3","208","242",Maritime Barrens,16083.694131399999605,1263.499253890000091,"0","2803","756805","5268797","10","2803",1,0.01051,136.16196,169.3275,0.09627,89.564,86.95358,90.97034,10.47328,8.04881,3.72322,19.33768,17.43428,12.7311,50.5335,715.53351,106813.07813,0.26128
"1","2823","1227","1977","2","109","153",Maritime Barrens,25749.574500499998976,3712.583119700000225,"0","2823","810805","5268797","11","2823",1,0.01481,137.37044,188.62152,0.15257,84.93793,82.54069,93.1423,10.64161,8.32248,3.80869,19.79773,18.10508,12.81546,193.12737,830.08032,150444.75,4.76768
"1","3155","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3155","742805","5274797","12","3155",1,0.01373,136.438,165.19057,0.16588,89.19773,90.0738,92.79687,10.5669,8.0967,3.79209,18.92637,16.97134,12.40566,53.28642,2250.49805,91784.57031,0.59906
"1","3156","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3156","744805","5274797","13","3156",1,0.00966,136.60854,166.83554,0.11306,89.15712,89.64983,92.57124,10.54219,8.07825,3.77,18.96635,17.02548,12.43907,62.33257,2504.38037,93733.71094,0.43867
"1","3157","1272","1978","3","193","237",Maritime Barrens,62906.910068500008492,5970.861188750000110,"0","3157","748805","5274797","14","3157",3,,136.21814,167.44547,0.04128,88.70425,88.42391,91.68109,10.54911,8.09707,3.78266,19.12839,17.20667,12.57691,53.01123,1703.87622,97638.14844,
"1","3317","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3317","740805","5276797","15","3317",1,0.02576,136.97105,164.90543,0.10823,89.44743,90.88229,93.61285,10.49277,8.02538,3.72178,18.83881,16.88224,12.32224,79.55767,640.65247,89396.11719,1.48669
"1","3318","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3318","742805","5276797","16","3318",3,0.01221,135.91797,166.01976,0.14696,88.39486,89.41574,92.08298,10.63869,8.17106,3.86821,19.0503,17.09796,12.52643,27.50076,254.81581,91352.42969,0.80639
"1","3319","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3319","744805","5276797","17","3319",1,0.00657,136.24332,167.19171,0.1409,88.57447,89.23678,92.14584,10.57576,8.11523,3.80808,19.03975,17.1055,12.5124,60.70557,1593.50928,93290.24219,6.02657
"1","3495","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3495","740805","5278797","18","3495",3,0.03507,137.15327,165.02892,0.14535,89.34111,90.94092,93.79184,10.44819,7.98747,3.68293,18.84462,16.896,12.32462,93.45313,528.49945,88835.10156,1.50689
"1","3496","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3496","744805","5278797","19","3496",1,0.01073,135.93069,166.83978,0.0676,88.10683,88.9502,91.88845,10.58913,8.13204,3.82552,19.10343,17.17338,12.57112,30.61744,944.04614,92569.75,5.05169
"1","3497","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3497","746805","5278797","20","3497",3,,136.01021,167.74532,0.11757,87.98132,88.47182,91.58957,10.57411,8.12233,3.81233,19.14565,17.2292,12.60681,41.07921,1206.85889,94445.21875,
"1","3689","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3689","740805","5280797","21","3689",3,,136.61134,165.6516,0.15628,88.56026,90.29416,93.07289,10.52165,8.06266,3.76069,18.98055,17.03008,12.45343,52.6415,309.21985,88123.57031,
"1","3690","1231","1977","3","122","152",Maritime Barrens,48859.561687599998550,5265.927295860000413,"0","3690","746805","5280797","22","3690",3,,136.79158,168.30496,0.13644,88.5204,89.28248,92.6881,10.4175,7.97372,3.6602,19.02139,17.11601,12.47587,86.59555,1479.09717,93776.27344,
"1","3693","1252","1978","3","142","215",Maritime Barrens,139518.835930000001099,29726.353385999998864,"0","3693","764805","5280797","23","3693",1,0.0218,135.94212,175.4868,0.10071,86.16017,84.34431,89.28996,10.46317,8.07388,3.71514,19.63094,17.81048,12.94806,71.94164,2470.92432,110953.42969,4.6556
"1","3694","1252","1978","3","142","215",Maritime Barrens,139518.835930000001099,29726.353385999998864,"0","3694","766805","5280797","24","3694",1,0.01603,136.68553,176.14272,0.10398,86.58846,84.76707,90.13349,10.36024,7.97861,3.60851,19.53792,17.7369,12.84356,105.50536,2131.30811,112877.82813,4.73177
