rand_point,fid,DN,SpRasterNA,slopeRaste,sg_date,sg__gdd_p2,sg__gdd_p1,pcp0708,pcp0607,pcp0506,MinT0708,MinT0607,MinT0506,MaxT0708,MaxT0607,MaxT0506,elevationR,DistanceRo,DistanceRi,aspectRast,X,Y
0,2,"0",1.00000,0.00475,139.31337,192.21916,0.36942,105.04123,109.99953,100.04771,9.70940,7.91985,3.30775,19.23234,17.73138,12.88806,278.19940,7330.96240,449.16452,3.30484,"472988","5327017"
1,2,"0",2.00000,0.01624,136.19791,206.28554,0.40929,83.08385,83.25061,87.17932,10.10759,8.24563,3.52573,20.82137,19.57797,14.23532,256.99536,11579.73828,19283.58789,6.04996,"660208","5399800"
2,2,"0",2.00000,0.01640,135.61766,214.48962,0.32762,81.16319,78.81175,79.76577,10.13449,8.47284,3.63514,21.48906,20.27568,14.69248,170.87631,5933.91406,8407.77148,2.01637,"595621","5428722"
3,2,"0",2.00000,0.00922,134.48694,200.11545,0.24018,85.00605,86.60732,89.98323,10.07887,8.21811,3.66530,20.95879,19.57149,14.48747,165.53284,25370.32227,231.86143,3.18952,"665820","5362562"
4,2,"0",1.00000,0.03703,141.96536,196.64926,0.30717,87.73679,83.48275,79.50581,9.10673,7.24572,2.50162,19.80874,18.38956,12.73904,266.36899,1545.54956,18495.92383,5.32106,"520543","5501477"
5,2,"0",1.00000,0.00884,134.72031,192.51610,0.16368,102.49187,105.76037,105.01192,10.09894,8.22274,3.74968,20.06660,18.64993,14.07520,200.52278,476.78738,10208.02148,4.63992,"592876","5323777"
6,2,"0",1.00000,0.02529,137.97186,154.79469,0.00272,106.56438,114.01869,107.51453,10.75301,8.44065,4.08168,18.05486,15.73806,11.47335,67.12106,3050.19556,76812.45313,3.48334,"365910","5275801"
7,2,"0",1.00000,0.00916,139.95404,206.38132,0.51377,99.25433,98.96977,90.63559,9.27035,7.64344,2.87112,19.86423,18.68480,13.49238,369.66071,5502.07129,7274.61328,2.10589,"489562","5371846"
8,2,"0",1.00000,0.00061,147.82803,173.67934,0.31633,84.21381,78.79087,73.17306,8.42006,6.21775,1.83476,17.71273,16.04813,10.64765,36.40331,5599.10938,45485.91016,1.85708,"560281","5697728"
9,2,"0",1.00000,0.03159,140.53558,200.26314,0.33687,102.90888,99.19501,89.46680,9.53963,7.88731,3.01101,19.06711,17.97887,12.91031,489.40582,1827.49817,19676.71094,0.00580,"435271","5403517"
10,2,"0",2.00000,0.01094,135.82816,202.60272,0.26701,88.30475,89.65131,92.39450,9.92812,8.12155,3.50181,20.65900,19.36202,14.25451,279.13922,21879.53320,3884.52686,2.12425,"645146","5369150"
11,2,"0",,0.00430,135.74815,179.83022,0.12261,106.09792,112.28240,111.24136,10.39661,8.35051,3.97101,18.97748,17.34949,13.01882,226.58018,10980.53027,2643.63013,5.03087,"576382","5295032"
12,2,"0",1.00000,0.00384,139.83911,200.96849,0.33871,100.27155,101.80972,94.98976,9.24530,7.56883,2.86100,19.67732,18.42560,13.34256,376.64734,1397.45264,19111.39063,5.63022,"514215","5356121"
13,2,"0",,0.00940,137.84041,205.28201,0.28854,92.49313,91.95590,89.96261,9.42779,7.78743,3.04974,20.49672,19.32403,14.10888,321.89825,17962.38086,23910.68750,1.49216,"571736","5378251"
14,2,"0",1.00000,0.00544,138.70447,198.06360,0.28081,103.96501,101.03228,91.03406,10.26962,8.53573,3.64126,18.97308,17.79631,12.93491,349.92841,2755.51538,41492.84766,3.87277,"399481","5401354"
